(6604)[2018-08-24 10:18:37.570276] [LM_DEBUG]  GmsService:Starting service
(6604)[2018-08-24 10:18:37.572269] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:37.572269] [LM_DEBUG]  Major version: 6, Minor version: 2
(6604)[2018-08-24 10:18:37.572269] [LM_DEBUG]  Checking signature for configuration file Common.dll
(6604)[2018-08-24 10:18:37.572269] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:37.667064] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:37.667064] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:37.669011] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:37.669011] [LM_DEBUG]  Checking version for configuration file Common.dll
(6604)[2018-08-24 10:18:37.669011] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:37.669011] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\Common.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:37.669011] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:37.669011] [LM_DEBUG]  Checking signature for configuration file GmsCommon.dll
(6604)[2018-08-24 10:18:37.669011] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:37.725580] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:37.725580] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:37.726978] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:37.726978] [LM_DEBUG]  Checking version for configuration file GmsCommon.dll
(6604)[2018-08-24 10:18:37.726978] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:37.726978] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\GmsCommon.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:37.726978] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:37.726978] [LM_DEBUG]  Checking signature for configuration file WsmanClient.dll
(6604)[2018-08-24 10:18:37.726978] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:37.779498] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:37.779498] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:37.780809] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:37.780809] [LM_DEBUG]  Checking version for configuration file WsmanClient.dll
(6604)[2018-08-24 10:18:37.780809] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:37.780809] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\WsmanClient.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:37.780809] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:37.780809] [LM_DEBUG]  loading strings
(6604)[2018-08-24 10:18:37.781961] [LM_DEBUG]  Checking signature for configuration file Configurator.dll
(6604)[2018-08-24 10:18:37.781961] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:37.827947] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:37.827947] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:37.828943] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:37.828943] [LM_DEBUG]  Checking version for configuration file Configurator.dll
(6604)[2018-08-24 10:18:37.829941] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
